{'ip': '37.209.192.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.6', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.7', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.65.253.73', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '194.146.106.50', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.159.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.147.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.3', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.195', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.3', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '212.18.248.49', 'other': 'REFUSED', 'type': '4'}
{'ip': '95.142.99.216', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.5', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.16', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.103.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '95.142.99.215', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.154.241.88', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.10', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.17', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.18', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.14', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.9', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.19', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.156.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.144.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.146.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.6', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.248.221.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.198.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.100.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.44.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.124.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '108.166.113.245', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.217.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.20', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.195', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.199', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.22', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.195', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.199', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.21', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.12', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.134.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.2', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '37.209.196.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.198.7', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.6', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '37.209.198.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.158.74.10', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '212.18.249.56', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.196.7', 'other': 'REFUSED', 'type': '4'}
{'ip': '212.18.249.71', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.102.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.100.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.115.154.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.169.218.56', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.45.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.25.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '212.18.248.71', 'other': 'REFUSED', 'type': '4'}
{'ip': '211.29.133.32', 'other': 'NOERROR', 'type': '4'}
{'ip': '65.22.49.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.5', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.16', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.14', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.218.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.20', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.82.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.157.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.16', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.45.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '43.230.49.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '43.230.49.4', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.19', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.199', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.157.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.3', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.19', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.158.74.9', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '194.169.218.49', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.20', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.61.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.6', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.9', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.215.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.133.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.25.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.134.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.254.28.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.21', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '185.24.64.56', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.115.153.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.14', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.145.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.213.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.195', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.5', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '203.112.194.231', 'other': 'NOERROR', 'type': '4'}
{'ip': '156.154.145.3', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '202.29.151.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.2', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '79.98.120.73', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.125.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.6.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.19', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.12', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.129.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.209.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.81.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.10', 'other': 'SERVFAIL', 'type': '4'}
